,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME_2016,STATE_2016,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2016,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2016",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2016,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2016,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2016,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2016,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2016,IndPremiumPMM_2016,IndCostsPMM_2016,IndRTPMM_2016,IndPremiumMinusCostsPMM_2016
140,16072.0,Coventry Health and Life Insurance Co.,PA,0.0,,-101341.75,3060.0,4731.0,300025.67,254744.52,98.04760457516339,83.2498431372549,,14.797761437908491,Coventry Health and Life,PA,,,-104427.04,19.0,2732.0,283.91,60339.71,14.94263157894737,3175.7742105263155,,-3160.831578947368
147,65441.0,"Phoenix Health Plans, Inc.",AZ,0.0,-247328.86,,3091.0,,355126.0,76279.06723,114.89032675509544,24.6777959333549,-80.0158071821417,90.21253082174054,"Phoenix Health Plans, Inc.",AZ,1783346.46,-32866201.1,,356225.0,,79054583.0,57362792.41,221.9231749596463,161.02966498701662,-92.26247764755422,60.89350997262969
153,80431.0,Freedom Life Insurance,SC,7907.84,-7622.19,,2028.0,,421461.0,432622.0,207.82100591715977,213.32445759368835,-3.7584763313609466,-5.503451676528584,Freedom Life Insurance Company of America,SC,0.0,-520.68,,1735.0,,366124.0,106303.0,211.02247838616714,61.269740634005764,-0.3001037463976945,149.75273775216138
160,41549.0,Southwest Life and Health Ins Comp,TX,,,79525.12,2897.0,6502.0,558542.0,464989.0,192.80013807386953,160.5070762858129,,32.29306178805663,Southwest Life and Health,TX,,,371800.01,2542.0,7459.0,490382.0,1233461.0,192.91188040912667,485.23249409913456,,-292.3206136900079
162,63474.0,Bridge Span Health Company,OR,37956.63,-143117.09,,2095.0,,608257.0,606509.0,290.33747016706445,289.5031026252983,-68.31364677804295,0.8343675417661416,BridgeSpan Health Company (OR),OR,170709.72,-597610.71,,15167.0,,7171780.0,6881098.0,472.85422298411027,453.6887980483945,-39.40203797718731,19.16542493571575
165,67088.0,John Alden Life Insurance Company,OK,,,-178744.41,2057.0,2130.0,631438.0,349806.0,306.9703451628585,170.0563928050559,,136.9139523578026,,,,,,,,,,,,,
166,89728.0,John Alden Life Insurance Company,SC,,,35428.72,2384.0,917.0,643822.0,271989.0,270.0595637583893,114.08934563758389,,155.97021812080538,,,,,,,,,,,,,
169,83808.0,Coventry Health and Life,MS,62611.94,-199659.48,-154417.17,2953.0,154.0,647952.86,526416.9,219.4218963765662,178.26512021672875,-67.61242126650863,41.15677615983745,Coventry Health and Life,MS,,,-47174.8,,55.0,,,,,,
176,84600.0,Aetna Life Insurance Company,KS,,,745826.49,2813.0,6579.0,690716.26,398728.39,245.54435122644864,141.74489512975472,,103.79945609669392,Aetna Life Insurance Company,KS,,,190344.76,2217.0,28674.0,578805.78,419864.08,261.0761299052774,189.38388813712226,,71.69224176815516
179,80698.0,John Alden Life Insurance Company,NE,,,-21958.59,2420.0,1022.0,715408.0,226936.0,295.62314049586774,93.77520661157025,,201.8479338842975,,,,,,,,,,,,,
